Крок    t       psi(t)   i(t)        e(t)  psi(t+dt) 
 534  0.02697   0.9779   0.3693  -136.44307   0.9779 
 535  0.02702   0.9704   0.3580  -139.95265   0.9704 
 536  0.02707   0.9628   0.3469  -143.41960   0.9628 
 537  0.02712   0.9550   0.3358  -146.84287   0.9550 
 538  0.02717   0.9470   0.3249  -150.22140   0.9470 
 539  0.02722   0.9389   0.3140  -153.55418   0.9389 
 540  0.02727   0.9306   0.3034  -156.84018   0.9306 
 541  0.02732   0.9221   0.2929  -160.07840   0.9221 
 542  0.02737   0.9135   0.2825  -163.26787   0.9135 
 543  0.02742   0.9048   0.2724  -166.40760   0.9048 
 544  0.02747   0.8959   0.2624  -169.49664   0.8959 
 545  0.02753   0.8869   0.2527  -172.53405   0.8869 
 546  0.02758   0.8778   0.2432  -175.51891   0.8778 
 547  0.02763   0.8685   0.2339  -178.45030   0.8685 
 548  0.02768   0.8590   0.2248  -181.32734   0.8590 
 549  0.02773   0.8495   0.2159  -184.14914   0.8495 
 550  0.02778   0.8398   0.2073  -186.91484   0.8398 
 551  0.02783   0.8300   0.1989  -189.62361   0.8300 
 552  0.02788   0.8200   0.1908  -192.27462   0.8200 
 553  0.02793   0.8100   0.1829  -194.86706   0.8100 
 554  0.02798   0.7998   0.1753  -197.40015   0.7998 
 555  0.02803   0.7895   0.1680  -199.87310   0.7895 
 556  0.02808   0.7791   0.1608  -202.28517   0.7791 
 557  0.02813   0.7685   0.1540  -204.63562   0.7685 
 558  0.02818   0.7579   0.1473  -206.92374   0.7579 
 559  0.02823   0.7472   0.1410  -209.14882   0.7472 
 560  0.02828   0.7363   0.1348  -211.31020   0.7363 
 561  0.02833   0.7254   0.1290  -213.40721   0.7254 
 562  0.02838   0.7144   0.1233  -215.43921   0.7144 
 563  0.02843   0.7033   0.1179  -217.40559   0.7033 
 564  0.02848   0.6920   0.1127  -219.30575   0.6920 
 565  0.02854   0.6807   0.1078  -221.13910   0.6807 
 566  0.02859   0.6694   0.1030  -222.90509   0.6694 
 567  0.02864   0.6579   0.0985  -224.60318   0.6579 
 568  0.02869   0.6464   0.0942  -226.23286   0.6464 
 569  0.02874   0.6347   0.0900  -227.79362   0.6347 
 570  0.02879   0.6231   0.0861  -229.28500   0.6231 
 571  0.02884   0.6113   0.0824  -230.70653   0.6113 
 572  0.02889   0.5995   0.0788  -232.05779   0.5995 
 573  0.02894   0.5876   0.0754  -233.33836   0.5876 
 574  0.02899   0.5757   0.0722  -234.54785   0.5757 
 575  0.02904   0.5637   0.0691  -235.68590   0.5637 
 576  0.02909   0.5517   0.0662  -236.75216   0.5517 
 577  0.02914   0.5396   0.0634  -237.74630   0.5396 
 578  0.02919   0.5274   0.0608  -238.66801   0.5274 
 579  0.02924   0.5153   0.0583  -239.51703   0.5153 
 580  0.02929   0.5031   0.0559  -240.29309   0.5031 
 581  0.02934   0.4908   0.0536  -240.99596   0.4908 
 582  0.02939   0.4786   0.0514  -241.62541   0.4786 
 583  0.02944   0.4663   0.0493  -242.18126   0.4663 
 584  0.02949   0.4540   0.0474  -242.66334   0.4540 
 585  0.02955   0.4416   0.0455  -243.07151   0.4416 
 586  0.02960   0.4293   0.0436  -243.40563   0.4293 
 587  0.02965   0.4169   0.0419  -243.66561   0.4169 
 588  0.02970   0.4046   0.0402  -243.85136   0.4046 
 589  0.02975   0.3922   0.0386  -243.96284   0.3922 
 590  0.02980   0.3798   0.0370  -244.00000   0.3798 
 591  0.02985   0.3675   0.0355  -243.96284   0.3675 
 592  0.02990   0.3551   0.0341  -243.85136   0.3551 
 593  0.02995   0.3428   0.0327  -243.66561   0.3428 
 594  0.03000   0.3304   0.0313  -243.40563   0.3304 
 595  0.03005   0.3181   0.0300  -243.07151   0.3181 
 596  0.03010   0.3058   0.0287  -242.66334   0.3058 
 597  0.03015   0.2936   0.0274  -242.18126   0.2936 
 598  0.03020   0.2813   0.0262  -241.62541   0.2813 
 599  0.03025   0.2691   0.0249  -240.99596   0.2691 
 600  0.03030   0.2570   0.0237  -240.29309   0.2570 
 601  0.03035   0.2448   0.0226  -239.51703   0.2448 
 602  0.03040   0.2328   0.0214  -238.66801   0.2328 
 603  0.03045   0.2207   0.0202  -237.74630   0.2207 
 604  0.03051   0.2087   0.0191  -236.75216   0.2087 
 605  0.03056   0.1968   0.0180  -235.68590   0.1968 
 606  0.03061   0.1850   0.0169  -234.54785   0.1850 
 607  0.03066   0.1731   0.0158  -233.33836   0.1731 
 608  0.03071   0.1614   0.0147  -232.05779   0.1614 
 609  0.03076   0.1497   0.0136  -230.70653   0.1497 
 610  0.03081   0.1381   0.0126  -229.28500   0.1381 
 611  0.03086   0.1266   0.0115  -227.79362   0.1266 
 612  0.03091   0.1152   0.0105  -226.23286   0.1152 
 613  0.03096   0.1038   0.0095  -224.60318   0.1038 
 614  0.03101   0.0926   0.0084  -222.90509   0.0926 
 615  0.03106   0.0814   0.0074  -221.13910   0.0814 
 616  0.03111   0.0703   0.0064  -219.30575   0.0703 
 617  0.03116   0.0593   0.0054  -217.40559   0.0593 
 618  0.03121   0.0484   0.0044  -215.43921   0.0484 
 619  0.03126   0.0376   0.0034  -213.40721   0.0376 
 620  0.03131   0.0270   0.0025  -211.31020   0.0270 
 621  0.03136   0.0164   0.0015  -209.14882   0.0164 
 622  0.03141   0.0059   0.0005  -206.92374   0.0059 
 623  0.03146  -0.0044   -0.0004  -204.63562   -0.0044 
 624  0.03152  -0.0146   -0.0013  -202.28517   -0.0146 
 625  0.03157  -0.0247   -0.0022  -199.87310   -0.0247 
 626  0.03162  -0.0347   -0.0032  -197.40015   -0.0347 
 627  0.03167  -0.0445   -0.0040  -194.86706   -0.0445 
 628  0.03172  -0.0542   -0.0049  -192.27462   -0.0542 
 629  0.03177  -0.0638   -0.0058  -189.62361   -0.0638 
 630  0.03182  -0.0732   -0.0067  -186.91484   -0.0732 
 631  0.03187  -0.0825   -0.0075  -184.14914   -0.0825 
 632  0.03192  -0.0917   -0.0083  -181.32734   -0.0917 
 633  0.03197  -0.1007   -0.0092  -178.45030   -0.1007 
 634  0.03202  -0.1095   -0.0100  -175.51891   -0.1095 
 635  0.03207  -0.1182   -0.0108  -172.53405   -0.1182 
 636  0.03212  -0.1268   -0.0115  -169.49664   -0.1268 
 637  0.03217  -0.1352   -0.0123  -166.40760   -0.1352 
 638  0.03222  -0.1434   -0.0131  -163.26787   -0.1434 
 639  0.03227  -0.1515   -0.0138  -160.07840   -0.1515 
 640  0.03232  -0.1594   -0.0145  -156.84018   -0.1594 
 641  0.03237  -0.1671   -0.0152  -153.55418   -0.1671 
 642  0.03242  -0.1747   -0.0159  -150.22140   -0.1747 
 643  0.03247  -0.1821   -0.0166  -146.84287   -0.1821 
 644  0.03253  -0.1893   -0.0173  -143.41960   -0.1893 
 645  0.03258  -0.1963   -0.0180  -139.95265   -0.1963 
 646  0.03263  -0.2032   -0.0186  -136.44307   -0.2032 
 647  0.03268  -0.2099   -0.0192  -132.89192   -0.2099 
 648  0.03273  -0.2164   -0.0198  -129.30030   -0.2164 
 649  0.03278  -0.2227   -0.0204  -125.66929   -0.2227 
 650  0.03283  -0.2289   -0.0210  -122.00000   -0.2289 
 651  0.03288  -0.2348   -0.0216  -118.29355   -0.2348 
 652  0.03293  -0.2406   -0.0221  -114.55106   -0.2406 
 653  0.03298  -0.2461   -0.0227  -110.77368   -0.2461 
 654  0.03303  -0.2515   -0.0232  -106.96256   -0.2515 
 655  0.03308  -0.2567   -0.0237  -103.11886   -0.2567 
 656  0.03313  -0.2617   -0.0242  -99.24374   -0.2617 
 657  0.03318  -0.2665   -0.0247  -95.33840   -0.2665 
 658  0.03323  -0.2711   -0.0251  -91.40401   -0.2711 
 659  0.03328  -0.2755   -0.0256  -87.44178   -0.2755 
 660  0.03333  -0.2796   -0.0260  -83.45291   -0.2796 
 661  0.03338  -0.2836   -0.0264  -79.43863   -0.2836 
 662  0.03343  -0.2874   -0.0268  -75.40015   -0.2874 
 663  0.03348  -0.2910   -0.0271  -71.33870   -0.2910 
 664  0.03354  -0.2943   -0.0275  -67.25551   -0.2943 
 665  0.03359  -0.2975   -0.0278  -63.15185   -0.2975 
 666  0.03364  -0.3004   -0.0281  -59.02894   -0.3004 
 667  0.03369  -0.3032   -0.0284  -54.88806   -0.3032 
 668  0.03374  -0.3057   -0.0287  -50.73045   -0.3057 
 669  0.03379  -0.3080   -0.0289  -46.55739   -0.3080 
 670  0.03384  -0.3101   -0.0291  -42.37016   -0.3101 
 671  0.03389  -0.3120   -0.0293  -38.17001   -0.3120 
 672  0.03394  -0.3137   -0.0295  -33.95824   -0.3137 
 673  0.03399  -0.3152   -0.0297  -29.73612   -0.3152 
 674  0.03404  -0.3164   -0.0298  -25.50495   -0.3164 
 675  0.03409  -0.3175   -0.0299  -21.26600   -0.3175 
 676  0.03414  -0.3183   -0.0300  -17.02058   -0.3183 
 677  0.03419  -0.3189   -0.0301  -12.76997   -0.3189 
 678  0.03424  -0.3193   -0.0301  -8.51548   -0.3193 
 679  0.03429  -0.3195   -0.0301  -4.25839   -0.3195 
 680  0.03434  -0.3194   -0.0301  0.00000   -0.3194 
 681  0.03439  -0.3192   -0.0301  4.25839   -0.3192 
 682  0.03444  -0.3187   -0.0300  8.51548   -0.3187 
 683  0.03449  -0.3180   -0.0300  12.76997   -0.3180 
 684  0.03455  -0.3172   -0.0299  17.02058   -0.3172 
 685  0.03460  -0.3160   -0.0297  21.26600   -0.3160 
 686  0.03465  -0.3147   -0.0296  25.50495   -0.3147 
 687  0.03470  -0.3132   -0.0294  29.73612   -0.3132 
 688  0.03475  -0.3114   -0.0293  33.95824   -0.3114 
 689  0.03480  -0.3095   -0.0291  38.17001   -0.3095 
 690  0.03485  -0.3073   -0.0288  42.37016   -0.3073 
 691  0.03490  -0.3049   -0.0286  46.55739   -0.3049 
 692  0.03495  -0.3023   -0.0283  50.73045   -0.3023 
 693  0.03500  -0.2995   -0.0280  54.88806   -0.2995 
 694  0.03505  -0.2965   -0.0277  59.02894   -0.2965 
 695  0.03510  -0.2933   -0.0274  63.15185   -0.2933 
 696  0.03515  -0.2899   -0.0270  67.25551   -0.2899 
 697  0.03520  -0.2862   -0.0266  71.33870   -0.2862 
 698  0.03525  -0.2824   -0.0263  75.40015   -0.2824 
 699  0.03530  -0.2783   -0.0259  79.43863   -0.2783 
 700  0.03535  -0.2741   -0.0254  83.45291   -0.2741 
 701  0.03540  -0.2696   -0.0250  87.44178   -0.2696 
 702  0.03545  -0.2650   -0.0245  91.40401   -0.2650 
 703  0.03551  -0.2602   -0.0240  95.33840   -0.2602 
 704  0.03556  -0.2551   -0.0236  99.24374   -0.2551 
 705  0.03561  -0.2499   -0.0230  103.11886   -0.2499 
 706  0.03566  -0.2445   -0.0225  106.96256   -0.2445 
 707  0.03571  -0.2388   -0.0220  110.77368   -0.2388 
 708  0.03576  -0.2330   -0.0214  114.55106   -0.2330 
 709  0.03581  -0.2270   -0.0208  118.29355   -0.2270 
 710  0.03586  -0.2208   -0.0203  122.00000   -0.2208 
 711  0.03591  -0.2145   -0.0197  125.66929   -0.2145 
 712  0.03596  -0.2079   -0.0190  129.30030   -0.2079 
 713  0.03601  -0.2012   -0.0184  132.89192   -0.2012 
 714  0.03606  -0.1943   -0.0178  136.44307   -0.1943 
 715  0.03611  -0.1872   -0.0171  139.95265   -0.1872 
 716  0.03616  -0.1799   -0.0164  143.41960   -0.1799 
 717  0.03621  -0.1725   -0.0157  146.84287   -0.1725 
 718  0.03626  -0.1649   -0.0150  150.22140   -0.1649 
 719  0.03631  -0.1571   -0.0143  153.55418   -0.1571 
 720  0.03636  -0.1492   -0.0136  156.84018   -0.1492 
 721  0.03641  -0.1411   -0.0129  160.07840   -0.1411 
 722  0.03646  -0.1328   -0.0121  163.26787   -0.1328 
 723  0.03652  -0.1244   -0.0113  166.40760   -0.1244 
 724  0.03657  -0.1158   -0.0105  169.49664   -0.1158 
 725  0.03662  -0.1071   -0.0097  172.53405   -0.1071 
 726  0.03667  -0.0982   -0.0089  175.51891   -0.0982 
 727  0.03672  -0.0892   -0.0081  178.45030   -0.0892 
 728  0.03677  -0.0800   -0.0073  181.32734   -0.0800 
 729  0.03682  -0.0707   -0.0064  184.14914   -0.0707 
 730  0.03687  -0.0613   -0.0056  186.91484   -0.0613 
 731  0.03692  -0.0517   -0.0047  189.62361   -0.0517 
 732  0.03697  -0.0420   -0.0038  192.27462   -0.0420 
 733  0.03702  -0.0321   -0.0029  194.86706   -0.0321 
 734  0.03707  -0.0221   -0.0020  197.40015   -0.0221 
 735  0.03712  -0.0120   -0.0011  199.87310   -0.0120 
 736  0.03717  -0.0018   -0.0002  202.28517   -0.0018 
 737  0.03722   0.0085   0.0008  204.63562   0.0085 
 738  0.03727   0.0190   0.0017  206.92374   0.0190 
 739  0.03732   0.0295   0.0027  209.14882   0.0295 
 740  0.03737   0.0402   0.0037  211.31020   0.0402 
 741  0.03742   0.0510   0.0046  213.40721   0.0510 
 742  0.03747   0.0618   0.0056  215.43921   0.0618 
 743  0.03753   0.0728   0.0066  217.40559   0.0728 
 744  0.03758   0.0839   0.0076  219.30575   0.0839 
 745  0.03763   0.0950   0.0087  221.13910   0.0950 
 746  0.03768   0.1063   0.0097  222.90509   0.1063 
 747  0.03773   0.1176   0.0107  224.60318   0.1176 
 748  0.03778   0.1290   0.0118  226.23286   0.1290 
 749  0.03783   0.1405   0.0128  227.79362   0.1405 
 750  0.03788   0.1521   0.0139  229.28500   0.1521 
 751  0.03793   0.1637   0.0149  230.70653   0.1637 
 752  0.03798   0.1754   0.0160  232.05779   0.1754 
 753  0.03803   0.1872   0.0171  233.33836   0.1872 
 754  0.03808   0.1990   0.0182  234.54785   0.1990 
 755  0.03813   0.2109   0.0193  235.68590   0.2109 
 756  0.03818   0.2228   0.0204  236.75216   0.2228 
 757  0.03823   0.2348   0.0216  237.74630   0.2348 
 758  0.03828   0.2468   0.0227  238.66801   0.2468 
 759  0.03833   0.2589   0.0239  239.51703   0.2589 
 760  0.03838   0.2710   0.0251  240.29309   0.271
